caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
1,52.7,1,8,Female,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
2,51.1,5,10,Male,Married,Trade certificate or diploma,Good,"Less than $25,000",50.1 hours and more
3,63.6,5,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",Valid skip
4,80,1,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",Valid skip
5,28,0,8,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",30.0 to 40.0 hours
6,63,2,9,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
7,58.8,2,4,Female,"Single, never married",Less than high school diploma or its equivalent,Poor,"Less than $25,000",Valid skip
8,80,7,10,Female,Divorced,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
9,63.8,0,8,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",30.0 to 40.0 hours
10,25.2,1,5,Male,"Single, never married",Less than high school diploma or its equivalent,Poor,"Less than $25,000",Valid skip
11,15.7,0,10,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",0.1 to 29.9 hours
12,40.3,0,6,Female,"Single, never married",University certificate or diploma below the bachelor's level,Good,"$25,000 to $49,999",50.1 hours and more
13,56.8,4,6,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Don't know
14,26.8,2,10,Female,Living common-law,Trade certificate or diploma,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
15,66.8,1,6,Female,Living common-law,High school diploma or a high school equivalency certificate,Fair,"$25,000 to $49,999",Valid skip
16,30.6,0,9,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17,68.8,7,9,Male,Married,High school diploma or a high school equivalency certificate,Good,"$125,000 and more",30.0 to 40.0 hours
18,33.8,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",40.1 to 50.0 hours
19,73.2,1,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",Valid skip
20,39.1,3,9,Male,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",Don't know
21,64.8,2,10,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$25,000 to $49,999",Valid skip
22,25.5,0,8,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
23,49.4,0,8,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
24,16.3,0,7,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
25,63.5,0,8,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",Valid skip
26,78.4,0,9,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",Valid skip
27,30.8,0,7,Female,"Single, never married","University certificate, diploma or degree above the bach...",Very good,"$100,000 to $ 124,999",50.1 hours and more
28,19.1,0,2,Female,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",Valid skip
29,40.8,3,7,Female,Separated,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",40.1 to 50.0 hours
30,43.9,0,9,Male,Living common-law,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
31,40.7,2,8,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",0.1 to 29.9 hours
32,80,2,7,Male,Widowed,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
33,16.8,0,8,Male,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",0.1 to 29.9 hours
34,80,3,10,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
35,71.4,2,8,Male,Separated,University certificate or diploma below the bachelor's level,Very good,"$50,000 to $74,999",40.1 to 50.0 hours
36,71.6,2,10,Male,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
37,29.6,0,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
38,74.9,0,8,Female,"Single, never married","University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",Valid skip
39,18.6,0,5,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",0.1 to 29.9 hours
40,54.3,3,10,Male,Living common-law,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",50.1 hours and more
41,80,2,10,Male,Married,Less than high school diploma or its equivalent,Good,"$25,000 to $49,999",Valid skip
42,37,1,9,Female,Living common-law,University certificate or diploma below the bachelor's level,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
43,27.3,1,8,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
44,68.9,4,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",40.1 to 50.0 hours
45,53.6,0,8,Female,Living common-law,Less than high school diploma or its equivalent,Fair,"Less than $25,000",40.1 to 50.0 hours
46,63.4,3,10,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$125,000 and more",50.1 hours and more
47,34.5,1,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
48,36.2,2,8,Male,Living common-law,Trade certificate or diploma,Good,"$100,000 to $ 124,999",30.0 to 40.0 hours
49,80,6,8,Female,Widowed,Less than high school diploma or its equivalent,Don't know,"$25,000 to $49,999",Valid skip
50,69.4,2,9,Male,Separated,Less than high school diploma or its equivalent,Very good,"Less than $25,000",30.0 to 40.0 hours
51,26.8,1,8,Female,Living common-law,High school diploma or a high school equivalency certificate,Fair,"Less than $25,000",0.1 to 29.9 hours
52,60.6,2,8,Male,Living common-law,"University certificate, diploma or degree above the bach...",Very good,"Less than $25,000",40.1 to 50.0 hours
53,51.9,1,5,Female,Separated,High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
54,61.5,3,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$125,000 and more",30.0 to 40.0 hours
55,47.5,2,9,Female,Separated,"University certificate, diploma or degree above the bach...",Excellent,"$100,000 to $ 124,999",Refusal
56,46.6,2,7,Male,Separated,"College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
57,53.6,0,7,Female,Living common-law,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
58,68.6,3,10,Female,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",30.0 to 40.0 hours
59,45.1,0,8,Male,Living common-law,Trade certificate or diploma,Good,"$25,000 to $49,999",30.0 to 40.0 hours
60,51,2,6,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$75,000 to $99,999",30.0 to 40.0 hours
61,70.8,2,10,Female,Living common-law,Less than high school diploma or its equivalent,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
62,60.8,0,8,Female,"Single, never married",Trade certificate or diploma,Excellent,"Less than $25,000",30.0 to 40.0 hours
63,53.1,0,6,Female,Separated,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",0.1 to 29.9 hours
64,34,3,9,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",0.1 to 29.9 hours
65,72.4,3,7,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
